alpha_id,expr,sharpe,fitness,turnover,ic_mean
2GYNNob,cashflow/assets,-1.18,-1.05,0.0281,-0.007061
d9GRboX,sga_expense/assets,0.0,0.0,0.0269,3.2e-05
2GYN6YY,debt_st/assets,0.54,0.28,0.0339,0.001982
QW8GZJw,cash_st/assets,-0.41,-0.25,0.0216,-0.004386
pWLNrev,receivable/assets,1.08,0.75,0.0232,0.005148
oPdNeXl,return_equity/assets,-0.22,-0.15,0.0711,-0.00166
VMWGw6w,retained_earnings/assets,-0.24,-0.14,0.0364,-0.002205
MgrGKar,fnd6_fopo/assets,-0.29,-0.14,0.0294,-0.002113
q5RNlrK,income_tax/assets,0.32,0.14,0.0438,0.001121
vYQNOrQ,pretax_income/assets,0.43,0.31,0.04,0.003179
d9GZoVX,cashflow_fin/assets,-0.59,-0.46,0.0271,-0.005637
aRp7r7w,income_beforeextra/assets,0.42,0.3,0.0412,0.003064
8GwlbAz,current_ratio/assets,-0.45,-0.36,0.0356,-0.004468
ZXJ7ZkY,sales_growth/assets,0.31,0.28,0.0842,0.002477
0GJwQgG,return_assets/assets,-0.09,-0.04,0.0667,-0.000862
QW87EP5,inventory_turnover/assets,-0.75,-0.86,0.0441,-0.007411
6GkllQJ,sales_ps/assets,0.46,0.23,0.0195,0.00312
e1jz1aM,cashflow_dividends/assets,-0.0,-0.0,0.0242,-1e-06
6GklLM7,invested_capital/assets,-0.75,-0.44,0.0245,-0.003461
6GkrnwO,fnd6_drlt/assets,0.95,0.9,0.0182,0.012223
vYQk8bG,cashflow_invst/assets,0.27,0.11,0.0269,0.001413
6GkrOm7,employee/assets,0.21,0.07,0.0251,0.001197
NKZQWow,working_capital/assets,-0.5,-0.31,0.0222,-0.004385
vYQkzQd,depre_amort/assets,0.48,0.23,0.029,0.002007
R5gVdEn,fnd6_ivaco/assets,0.92,0.82,0.0313,0.006334
zAVYR3V,fnd6_drc/assets,1.21,0.94,0.0186,0.008174
7GpZNnb,fnd6_mrcta/assets,0.61,0.35,0.0275,0.00299
VMW6NpG,fnd6_fatl/assets,0.67,0.47,0.029,0.004333
